accession,biosample,bioproject,studyId,dri_orcids
ERR15957846,ERS27942053,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957847,ERS27942054,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957848,ERS27942055,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957849,ERS27942057,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957850,ERS27942056,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957851,ERS27942056,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957852,ERS27942058,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957853,ERS27942057,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957854,ERS27942059,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957855,ERS27942060,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957856,ERS27942060,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957857,ERS27942061,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957858,ERS27942062,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957859,ERS27942062,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957860,ERS27942063,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957861,ERS27942064,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957862,ERS27942065,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957863,ERS27942066,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957864,ERS27942066,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957865,ERS27942067,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957866,ERS27942067,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957867,ERS27942067,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957868,ERS27942067,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957869,ERS27942068,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
